0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Name:,Michael,Family name:,Matthews,Nationality:,Australia ,Gender:, ,Age:,28  years,,,,
,Name:,Bauke,Family name:,Mollema,Nationality:,The Netherlands ,Gender:, ,Age:,32  years,,,,
,Name:,Michael,Family name:,Matthews,Nationality:,Australia ,Gender:, ,Age:,28  years,,,,
,Name:,Primož,Family name:,Roglič,Nationality:,Slovenia ,Gender:, ,Age:,29  years,,,,
,Name:,Warren,Family name:,Barguil,Nationality:,France ,Gender:, ,Age:,27  years,,,,
,Name:,Edvald,Family name:,Boasson Hagen,Nationality:,Norway ,Gender:, ,Age:,32  years,,,,
,Name:,Maciej,Family name:,Bodnar,Nationality:,Poland ,Gender:, ,Age:,34  years,,,,
,Name:,Dylan,Family name:,Groenewegen,Nationality:,The Netherlands ,Gender:, ,Age:,26  years,,,,
,Name:,Chris,Family name:,Froome,Nationality:,Great Britain ,,   GBR from 01-01-2008,   KEN from 20-05-1985 until 31-12-2007,Gender:, ,Age:,34  years,
,Name:,Michael,Family name:,Matthews,Nationality:,Australia ,Gender:, ,Age:,28  years,,,,
,Name:,Warren,Family name:,Barguil,Nationality:,France ,Gender:, ,Age:,27  years,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,,,,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,,,,
,Name:,Marcel,Family name:,Kittel,Nationality:,Germany ,Gender:, ,Age:,31  years,,,,
,Name:,Greg,Family name:,Van Avermaet,Nationality:,Belgium ,Gender:, ,Age:,34  years,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,,,,
,Name:,Stephen,Family name:,Cummings,Nationality:,Great Britain ,Gender:, ,Age:,38  years,,,,
,Name:,Chris,Family name:,Froome,Nationality:,Great Britain ,,   GBR from 01-01-2008,   KEN from 20-05-1985 until 31-12-2007,Gender:, ,Age:,34  years,
,Name:,Tom,Family name:,Dumoulin,Nationality:,The Netherlands ,Gender:, ,Age:,28  years,,,,
,Name:,Michael,Family name:,Matthews,Nationality:,Australia ,Gender:, ,Age:,28  years,,,,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,,,,
,Name:,Thomas,Family name:,De Gendt,Nationality:,Belgium ,Gender:, ,Age:,32  years,,,,
,Name:,Tom,Family name:,Dumoulin,Nationality:,The Netherlands ,Gender:, ,Age:,28  years,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,,,,
,Name:,Jarlinson,Family name:,Pantano Gómez,Nationality:,Colombia ,Gender:, ,Age:,30  years,,,,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,,,,
,Name:,Ilnur,Family name:,Zakarin,Nationality:,Russia ,Gender:, ,Age:,29  years,,,,
,Name:,Chris,Family name:,Froome,Nationality:,Great Britain ,,   GBR from 01-01-2008,   KEN from 20-05-1985 until 31-12-2007,Gender:, ,Age:,34  years,
,Name:,Romain,Family name:,Bardet,Nationality:,France ,Gender:, ,Age:,28  years,,,,
,Name:,Jon,Family name:,Izaguirre Insausti,Nationality:,Spain ,Gender:, ,Age:,30  years,,,,
,Name:,André,Family name:,Greipel,Nationality:,Germany ,Gender:, ,Age:,37  years,,,,
,Name:,Chris,Family name:,Froome,Nationality:,Great Britain ,,   GBR from 01-01-2008,   KEN from 20-05-1985 until 31-12-2007,Gender:, ,Age:,34  years,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,,,,
,Name:,Rafal,Family name:,Majka,Nationality:,Poland ,Gender:, ,Age:,29  years,,,,
,Name:,Adam,Family name:,Yates,Nationality:,Great Britain ,Gender:, ,Age:,27  years,,,,
,Name:,Rohan,Family name:,Dennis,Nationality:,Australia ,Gender:, ,Age:,29  years,,,,
,Name:,André,Family name:,Greipel,Nationality:,Germany ,Gender:, ,Age:,37  years,,,,
,Name:,Joaquim,Family name:,Rodríguez Oliver,Nationality:,Spain ,Gender:, ,Age:,40  years,,,,
,Name:,Tony,Family name:,Martin,Nationality:,Germany ,Gender:, ,Age:,34  years,,,,
,Name:,André,Family name:,Greipel,Nationality:,Germany ,Gender:, ,Age:,37  years,,,,
,Name:,Zdeněk,Family name:,Štybar,Nationality:,Czech Republic ,Gender:, ,Age:,33  years,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,,,,
,Name:,Alexis,Family name:,Vuillermoz,Nationality:,France ,Gender:, ,Age:,31  years,,,,
,Name:,Tejay,Family name:,Van Garderen,Nationality:,United States of America ,Gender:, ,Age:,31  years,,,,
,Name:,Chris,Family name:,Froome,Nationality:,Great Britain ,,   GBR from 01-01-2008,   KEN from 20-05-1985 until 31-12-2007,Gender:, ,Age:,34  years,
,Name:,Rafal,Family name:,Majka,Nationality:,Poland ,Gender:, ,Age:,29  years,,,,
,Name:,Joaquim,Family name:,Rodríguez Oliver,Nationality:,Spain ,Gender:, ,Age:,40  years,,,,
,Name:,Greg,Family name:,Van Avermaet,Nationality:,Belgium ,Gender:, ,Age:,34  years,,,,
,Name:,Stephen,Family name:,Cummings,Nationality:,Great Britain ,Gender:, ,Age:,38  years,,,,
,Name:,André,Family name:,Greipel,Nationality:,Germany ,Gender:, ,Age:,37  years,,,,
,Name:,Rubén,Family name:,Plaza Molina,Nationality:,Spain ,Gender:, ,Age:,39  years,,,,
,Name:,Simon,Family name:,Geschke,Nationality:,Germany ,Gender:, ,Age:,33  years,,,,
,Name:,Romain,Family name:,Bardet,Nationality:,France ,Gender:, ,Age:,28  years,,,,
,Name:,Vincenzo,Family name:,Nibali,Nationality:,Italy ,Gender:, ,Age:,34  years,,,,
,Name:,Thibaut,Family name:,Pinot,Nationality:,France ,Gender:, ,Age:,29  years,,,,
,Name:,André,Family name:,Greipel,Nationality:,Germany ,Gender:, ,Age:,37  years,,,,
,Name:,Nairo Alexander,Family name:,Quintana Rojas,Nationality:,Colombia ,Gender:, ,Age:,29  years,,,,
,Name:,Chris,Family name:,Froome,Nationality:,Great Britain ,,   GBR from 01-01-2008,   KEN from 20-05-1985 until 31-12-2007,Gender:, ,Age:,34  years,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,,,,
,Name:,Chris,Family name:,Froome,Nationality:,Great Britain ,,   GBR from 01-01-2008,   KEN from 20-05-1985 until 31-12-2007,Gender:, ,Age:,34  years,
