,Departure,Arrival
79,"    Pau (Aquitaine), France ","Bagnères-de-Luchon (Midi-Pyrenees), France"
80,"    Vielha (Cataluña), Spain ","Andorra (Andorra la Vella), Andorra"
81,"    Andorra (Andorra la Vella), Andorra ","Revel (Midi-Pyrenees), France"
82,"    Carcassonne (Languedoc-Roussillon), France ","Montpellier (Poitou-Charentes), France"
83,"    Montpellier (Languedoc-Roussillon), France ","Mont Ventoux (Provence-Alpes-Cote d'Azur), France"
84,"    Bourg-Saint-Andéol (Rhone-Alpes), France ","Caverne du Pont d'Arc (Rhone-Alpes), France"
85,"    Montélimar (Rhone-Alpes), France ","Villars-les-Dombes (Rhone-Alpes), France"
86,"    Bourg-en-Bresse (Rhone-Alpes), France ","Culoz (Rhone-Alpes), France"
87,"    Moirans-en-Montagne (Franche-Comte), France ","Bern (Bern), Switzerland"
88,"    Bern (Bern), Switzerland ","Finhaut (Valais), Switzerland"
89,"    Sallanches (Rhone-Alpes), France ","Megève (Rhone-Alpes), France"
90,"    Albertville (Rhone-Alpes), France ","Saint-Gervais-les-Bains (Rhone-Alpes), France"
91,"    Megève (Rhone-Alpes), France ","Morzine (Rhone-Alpes), France"
92,"    Chantilly (Picardie), France ","Paris (Ile-de-France), France"
93,,
94,,
95,,
96,,
97,"    Utrecht (Utrecht), The Netherlands ","Utrecht (Utrecht), The Netherlands"
98,"    Utrecht (Utrecht), The Netherlands ","Neeltje Jans (Zeeland), The Netherlands"
99,"    Antwerpen (Antwerpen), Belgium ","Huy (Liege), Belgium"
100,"    Seraing (Liege), Belgium ","Cambrai (Nord-Pas-de-Calais), France"
101,"    Arras (Nord-Pas-de-Calais), France ","Amiens (Picardie), France"
102,"    Abbeville (Picardie), France ","Le Havre (Haute-Normandie), France"
103,"    Livarot (Basse-Normandie), France ","Fougères (Bretagne), France"
104,"    Rennes (Bretagne), France ","Mur-de-Bretagne (Bretagne), France"
105,"    Vannes (Bretagne), France ","Plumelec (Bretagne), France"
106,"    Tarbes (Midi-Pyrenees), France ","Col de la Pierre Saint-Martin (Midi-Pyrenees), France"
107,"    Pau (Aquitaine), France ","Cauterets (Midi-Pyrenees), France"
108,"    Lannemezan (Midi-Pyrenees), France ","Plateau de Beille (Midi-Pyrenees), France"
109,"    Muret (Midi-Pyrenees), France ","Rodez (Midi-Pyrenees), France"
110,"    Rodez (Midi-Pyrenees), France ","Mende (Languedoc-Roussillon), France"
111,"    Mende (Languedoc-Roussillon), France ","Valence (Languedoc-Roussillon), France"
112,"    Bourg-de-Péage (Rhone-Alpes), France ","Gap (Provence-Alpes-Cote d'Azur), France"
113,"    Digne (Provence-Alpes-Cote d'Azur), France ","Pra-Loup (Provence-Alpes-Cote d'Azur), France"
114,"    Gap (Provence-Alpes-Cote d'Azur), France ","Saint-Jean-de-Maurienne (Rhone-Alpes), France"
115,"    Saint-Jean-de-Maurienne (Rhone-Alpes), France ","La Toussuire (Rhone-Alpes), France"
116,"    Modane (Rhone-Alpes), France ","L'Alpe-d'Huez (Rhone-Alpes), France"
117,"    Sèvres (Ile-de-France), France ","Paris (Ile-de-France), France"
118,,
119,,
120,,
121,,
122,"    Leeds (Leeds), Great Britain ","Harrogate (North Yorkshire), Great Britain"
123,"    York (York), Great Britain ","Sheffield (Sheffield), Great Britain"
124,"    Cambridge (Cambridgeshire), Great Britain ","London (Greater London), Great Britain"
125,"    Le Touquet-Paris-Plage (Nord-Pas-de-Calais), France ","Villeneuve d'Ascq (Nord-Pas-de-Calais), France"
126,"    Ieper (West-Vlaanderen), Belgium ","Arenberg (Nord-Pas-de-Calais), France"
127,"    Arras (Nord-Pas-de-Calais), France ","Reims (Champagne-Ardenne), France"
128,"    Épernay (Champagne-Ardenne), France ","Nancy (Lorraine), France"
129,"    Tomblaine (Lorraine), France ","La Mauselaine (Lorraine), France"
130,"    Gérardmer (Lorraine), France ","Mulhouse (Alsace), France"
131,"    Mulhouse (Alsace), France ","Planche des Belles Filles (Franche-Comte), France"
132,"    Besançon (Franche-Comte), France ","Oyonnax (Rhone-Alpes), France"
133,"    Bourg-en-Bresse (Rhone-Alpes), France ","Saint-Étienne (Rhone-Alpes), France"
134,"    Saint-Étienne (Rhone-Alpes), France ","Chamrousse (Rhone-Alpes), France"
135,"    Grenoble (Rhone-Alpes), France ","Risoul (Provence-Alpes-Cote d'Azur), France"
136,"    Tallard (Provence-Alpes-Cote d'Azur), France ","Nîmes (Languedoc-Roussillon), France"
137,"    Carcassonne (Languedoc-Roussillon), France ","Bagnères-de-Luchon (Midi-Pyrenees), France"
138,"    Saint-Gaudens (Midi-Pyrenees), France ","Pla d'Adet (Midi-Pyrenees), France"
139,"    Pau (Aquitaine), France ","Hautacam  (Midi-Pyrenees), France"
140,"    Maubourguet (Midi-Pyrenees), France ","Bergerac (Aquitaine), France"
141,"    Bergerac (Aquitaine), France ","Périgueux (Aquitaine), France"
142,"    Évry (Ile-de-France), France ","Paris (Ile-de-France), France"
143,,
144,,
145,,
146,,
147,"    Porto-Vecchio (Corse), France ","Bastia (Corse), France"
148,"    Bastia (Corse), France ","Ajaccio (Corse), France"
149,"    Ajaccio (Corse), France ","Calvi (Corse), France"
150,"    Nice (Provence-Alpes-Cote d'Azur), France ","Nice (Provence-Alpes-Cote d'Azur), France"
151,"    Cagnes-sur-Mer (Provence-Alpes-Cote d'Azur), France ","Marseille (Provence-Alpes-Cote d'Azur), France"
152,"    Aix-en-Provence (Provence-Alpes-Cote d'Azur), France ","Montpellier (Languedoc-Roussillon), France"
153,"    Montpellier (Languedoc-Roussillon), France ","Albi (Midi-Pyrenees), France"
154,"    Castres (Midi-Pyrenees), France ","Ax 3 Domaines (Midi-Pyrenees), France"
155,"    Saint-Girons (Midi-Pyrenees), France ","Bagnères-de-Bigorre (Midi-Pyrenees), France"
156,"    Saint-Gildas-des-Bois (Pays de la Loire), France ","Saint-Malo (Bretagne), France"
157,"    Avranches (Basse-Normandie), France ","Le Mont-Saint-Michel (Basse-Normandie), France"
158,"    Fougères (Bretagne), France ","Tours (Centre), France"
159,"    Tours (Centre), France ","Saint-Amand-Montrond (Centre), France"
160,"    Saint-Pourçain-sur-Sioule (Auvergne), France ","Lyon (Rhone-Alpes), France"
161,"    Givors (Rhone-Alpes), France ","Mont Ventoux (Provence-Alpes-Cote d'Azur), France"
162,"    Vaison-la-Romaine (Provence-Alpes-Cote d'Azur), France ","Gap (Provence-Alpes-Cote d'Azur), France"
163,"    Embrun (Provence-Alpes-Cote d'Azur), France ","Chorges (Provence-Alpes-Cote d'Azur), France"
164,"    Gap (Provence-Alpes-Cote d'Azur), France ","L'Alpe-d'Huez (Rhone-Alpes), France"
165,"    Le Bourg-d'Oisans (Rhone-Alpes), France ","Le Grand Bornand (Rhone-Alpes), France"
166,"    Annecy (Rhone-Alpes), France ","Annecy (Rhone-Alpes), France"
167,"    Versailles (Ile-de-France), France ","Paris (Ile-de-France), France"
168,,
169,,
170,,
171,,
172,"    Liège (Liege), Belgium ","Liège (Liege), Belgium"
173,"    Liège (Liege), Belgium ","Seraing (Liege), Belgium"
174,"    Visé (Liege), Belgium ","Tournai (Hainaut), Belgium"
175,"    Orchies (Nord-Pas-de-Calais), France ","Boulogne-sur-Mer (Nord-Pas-de-Calais), France"
176,"    Abbeville (Picardie), France ","Rouen (Haute-Normandie), France"
177,"    Rouen (Haute-Normandie), France ","Saint-Quentin (Picardie), France"
178,"    Épernay (Champagne-Ardenne), France ","Metz (Lorraine), France"
179,"    Tomblaine (Lorraine), France ","Planche des Belles Filles (Franche-Comte), France"
180,"    Belfort (Franche-Comte), France ","Porrentruy (Jura), Switzerland"
181,"    Arc-et-Senans (Franche-Comte), France ","Besançon (Franche-Comte), France"
182,"    Mâcon (Bourgogne), France ","Bellegarde-sur-Valserine (Rhone-Alpes), France"
183,"    Albertville (Rhone-Alpes), France ","Fontcouverte (Rhone-Alpes), France"
184,"    Saint-Jean-de-Maurienne (Rhone-Alpes), France ","Annonay (Rhone-Alpes), France"
185,"    Saint-Paul-Trois-Châteaux (Rhone-Alpes), France ","Le Cap d'Agde (Languedoc-Roussillon), France"
186,"    Limoux (Languedoc-Roussillon), France ","Foix-sur-Ariège (Midi-Pyrenees), France"
187,"    Samatan (Midi-Pyrenees), France ","Pau (Aquitaine), France"
188,"    Pau (Aquitaine), France ","Bagnères-de-Luchon (Midi-Pyrenees), France"
189,"    Bagnères-de-Luchon (Midi-Pyrenees), France ","Peyragudes (Midi-Pyrenees), France"
190,"    Blagnac (Midi-Pyrenees), France ","Brive-la-Gaillarde (Limousin), France"
191,"    Bonneval (Rhone-Alpes), France ","Chartres (Centre), France"
192,"    Rambouillet (Ile de France), France ","Paris (Ile-de-France), France"
193,,
194,,
195,,
196,,
197,"    Passage du Gois (Pays de la Loire), France ","Mont des Alouettes (Pays de la Loire), France"
198,"    Les Essarts (Pays de la Loire), France ","Les Essarts (Pays de la Loire), France"
199,"    Olonne-sur-Mer (Pays de la Loire), France ","Redon (Bretagne), France"
200,"    Lorient (Bretagne), France ","Mur-de-Bretagne (Bretagne), France"
201,"    Carhaix (Bretagne), France ","Cap Fréhel (Bretagne), France"
202,"    Dinan (Bretagne), France ","Lisieux (Basse-Normandie), France"
203,"    Le Mans (Pays de la Loire), France ","Châteauroux (Centre), France"
204,"    Aigurande (Centre), France ","Super Besse (Auvergne), France"
205,"    Issoire (Auvergne), France ","Saint-Flour (Auvergne), France"
206,"    Aurillac (Auvergne), France ","Carmaux (Midi-Pyrenees), France"
207,"    Blaye-les-Mines (Midi-Pyrenees), France ","Lavaur (Midi-Pyrenees), France"
208,"    Cugnaux (Midi-Pyrenees), France ","Luz (Midi-Pyrenees), France"
209,"    Pau (Aquitaine), France ","Lourdes (Midi-Pyrenees), France"
210,"    Saint-Gaudens (Midi-Pyrenees), France ","Plateau de Beille (Midi-Pyrenees), France"
211,"    Limoux (Languedoc-Roussillon), France ","Montpellier (Languedoc-Roussillon), France"
212,"    Saint-Paul-Trois-Châteaux (Rhone-Alpes), France ","Gap (Provence-Alpes-Cote d'Azur), France"
213,"    Gap (Provence-Alpes-Cote d'Azur), France ","Pinerolo (Piemonte), Italy"
214,"    Pinerolo (Piemonte), Italy ","Col du Galibier (Provence-Alpes-Cote d'Azur), France"
215,"    Modane (Rhone-Alpes), France ","L'Alpe-d'Huez (Rhone-Alpes), France"
216,"    Grenoble (Rhone-Alpes), France ","Grenoble (Rhone-Alpes), France"
217,"    Créteil (Ile-de-France), France ","Paris (Ile-de-France), France"
218,,
219,,
220,,
221,,
222,"    Rotterdam (Zuid-Holland), The Netherlands ","Rotterdam (Zuid-Holland), The Netherlands"
223,"    Rotterdam (Zuid-Holland), The Netherlands ","Bruxelles (Brussels Hoofdstedelijk Gewest), Belgium"
224,"    Brussel/Bruxelles (Brussels Hoofdstedelijk Gewest), Belgium ","Spa (Liege), Belgium"
225,"    Wanze (Liege), Belgium ","Arenberg (Nord-Pas-de-Calais), France"
226,"    Cambrai (Nord-Pas-de-Calais), France ","Reims (Champagne-Ardenne), France"
227,"    Épernay (Champagne-Ardenne), France ","Montargis (Centre), France"
228,"    Montargis (Centre), France ","Gueugnon (Bourgogne), France"
229,"    Tournus (Bourgogne), France ","Les Rousses (Provence-Alpes-Cote d'Azur), France"
230,"    Les Rousses (Provence-Alpes-Cote d'Azur), France ","Morzine (Rhone-Alpes), France"
231,"    Morzine (Rhone-Alpes), France ","Saint-Jean-de-Maurienne (Rhone-Alpes), France"
232,"    Chambéry (Rhone-Alpes), France ","Gap (Provence-Alpes-Cote d'Azur), France"
233,"    Sisteron (Provence-Alpes-Cote d'Azur), France ","Bourg-lès-Valence (Rhone-Alpes), France"
234,"    Bourg-de-Péage (Rhone-Alpes), France ","Mende (Languedoc-Roussillon), France"
235,"    Rodez (Midi-Pyrenees), France ","Revel (Midi-Pyrenees), France"
236,"    Revel (Midi-Pyrenees), France ","Ax-les-Thermes (Midi-Pyrenees), France"
237,"    Pamiers (Midi-Pyrenees), France ","Bagnères-de-Luchon (Midi-Pyrenees), France"
238,"    Bagnères-de-Luchon (Midi-Pyrenees), France ","Pau (Aquitaine), France"
239,"    Pau (Aquitaine), France ","Col du Tourmalet (Midi-Pyrenees), France"
240,"    Salies-de-Béarn (Aquitaine), France ","Bordeaux (Aquitaine), France"
241,"    Bordeaux (Aquitaine), France ","Pauillac (Aquitaine), France"
242,"    Longjumeau (Ile-de-France), France ","Paris (Ile-de-France), France"
243,,
244,,
245,,
246,,
247,"    Monaco , Monaco ","Monaco , Monaco"
248,"    Monaco , Monaco ","Brignoles (Provence-Alpes-Cote d'Azur), France"
249,"    Marseille (Provence-Alpes-Cote d'Azur), France ","La Grande Motte (Languedoc-Roussillon), France"
250,"    Montpellier (Languedoc-Roussillon), France ","Montpellier (Languedoc-Roussillon), France"
251,"    Le Cap d'Agde (Languedoc-Roussillon), France ","Perpignan (Languedoc-Roussillon), France"
252,"    Girona (Cataluña), Spain ","Barcelona (Cataluña), Spain"
253,"    Barcelona (Cataluña), Spain ","Andorra (Andorra la Vella), Andorra"
254,"    Andorra la Vella (Andorra la Vella), Andorra ","Saint-Girons (Midi-Pyrenees), France"
255,"    Saint-Gaudens (Midi-Pyrenees), France ","Tarbes (Midi-Pyrenees), France"
256,"    Limoges (Limousin), France ","Issoudun (Centre), France"
257,"    Vatan (Centre), France ","Saint-Fargeau (Bourgogne), France"
258,"    Tonnerre (Bourgogne), France ","Vittel (Lorraine), France"
259,"    Vittel (Lorraine), France ","Colmar (Alsace), France"
260,"    Colmar (Alsace), France ","Besançon (Franche-Comte), France"
261,"    Pontarlier (Franche-Comte), France ","Verbier (Valais), Switzerland"
262,"    Martigny (Valais), Switzerland ","Bourg-Saint-Maurice (Rhone-Alpes), France"
263,"    Bourg-Saint-Maurice (Rhone-Alpes), France ","Le Grand-Bornand (Rhone-Alpes), France"
264,"    Annecy (Rhone-Alpes), France ","Annecy (Rhone-Alpes), France"
265,"    Bourgoin (Rhone-Alpes), France ","Aubenas (Rhone-Alpes), France"
266,"    Montélimar (Rhone-Alpes), France ","Mont Ventoux (Provence-Alpes-Cote d'Azur), France"
267,"    Montereau-Fault-Yonne (Ile-de-France), France ","Paris (Ile-de-France), France"
268,,
269,,
270,,
271,,
272,"    Brest (Bretagne), France ","Plumelec (Bretagne), France"
273,"    Auray (Bretagne), France ","Saint-Brieuc (Bretagne), France"
274,"    Saint-Malo (Bretagne), France ","Nantes (Pays de la Loire), France"
275,"    Cholet (Pays de la Loire), France ","Cholet (Pays de la Loire), France"
276,"    Cholet (Pays de la Loire), France ","Châteauroux (Centre), France"
277,"    Aigurande (Centre), France ","Super Besse (Auvergne), France"
278,"    Brioude (Auvergne), France ","Aurillac (Auvergne), France"
279,"    Figeac (Midi-Pyrenees), France ","Toulouse (Midi-Pyrenees), France"
280,"    Toulouse (Midi-Pyrenees), France ","Bagnères-de-Bigorre (Midi-Pyrenees), France"
281,"    Pau (Aquitaine), France ","Hautacam  (Midi-Pyrenees), France"
282,"    Lannemezan (Midi-Pyrenees), France ","Foix-sur-Ariège (Midi-Pyrenees), France"
283,"    Lavelanet (Midi-Pyrenees), France ","Narbonne (Languedoc-Roussillon), France"
284,"    Narbonne (Languedoc-Roussillon), France ","Nîmes (Languedoc-Roussillon), France"
285,"    Nîmes (Languedoc-Roussillon), France ","Digne (Provence-Alpes-Cote d'Azur), France"
286,"    Embrun (Provence-Alpes-Cote d'Azur), France ","Prato Nevoso (Piemonte), Italy"
287,"    Cuneo (Piemonte), Italy ","Jausiers (Provence-Alpes-Cote d'Azur), France"
288,"    Embrun (Provence-Alpes-Cote d'Azur), France ","L'Alpe-d'Huez (Rhone-Alpes), France"
289,"    Le Bourg-d'Oisans (Rhone-Alpes), France ","Saint-Etienne (Pays de la Loire), France"
290,"    Roanne (Rhone-Alpes), France ","Montluçon (Auvergne), France"
291,"    Cérilly (Bourgogne), France ","Saint-Amand-Montrond (Centre), France"
292,"    Étampes (Ile-de-France), France ","Paris (Ile-de-France), France"
293,,
294,,
295,,
296,,
297,"    London (Greater London), Great Britain ","London (Greater London), Great Britain"
298,"    London (Greater London), Great Britain ","Canterbury (Kent), Great Britain"
299,"    Dunkerque (Nord-Pas-de-Calais), France ","Gent (Oost-Vlaanderen), Belgium"
300,"    Waregem (West-Vlaanderen), Belgium ","Compiègne (Picardie), France"
301,"    Villers-Cotterêts (Picardie), France ","Joigny (Bourgogne), France"
302,"    Chablis (Bourgogne), France ","Autun (Bourgogne), France"
303,"    Semur-en-Auxois (Bourgogne), France ","Bourg-en-Bresse (Rhone-Alpes), France"
304,"    Bourg-en-Bresse (Rhone-Alpes), France ","Le Grand Bornand (Rhone-Alpes), France"
305,"    Le Grand Bornand (Rhone-Alpes), France ","Tignes (Rhone-Alpes), France"
306,"    Val-d'Isere (Rhone-Alpes), France ","Briançon (Provence-Alpes-Cote d'Azur), France"
307,"    Tallard (Provence-Alpes-Cote d'Azur), France ","Marseille (Provence-Alpes-Cote d'Azur), France"
308,"    Marseille (Provence-Alpes-Cote d'Azur), France ","Montpellier (Languedoc-Roussillon), France"
309,"    Montpellier (Languedoc-Roussillon), France ","Castres (Midi-Pyrenees), France"
310,"    Albi (Midi-Pyrenees), France ","Albi (Midi-Pyrenees), France"
311,"    Mazamet (Midi-Pyrenees), France ","Plateau de Beille (Midi-Pyrenees), France"
312,"    Foix-sur-Ariège (Midi-Pyrenees), France ","Loudenvielle (Midi-Pyrenees), France"
313,"    Orthez (Aquitaine), France ","Col d'Aubisque (Midi-Pyrenees), France"
314,"    Pau (Aquitaine), France ","Castelsarrasin (Midi-Pyrenees), France"
315,"    Cahors (Midi-Pyrenees), France ","Angoulême (Poitou-Charentes), France"
316,"    Cognac (Poitou-Charentes), France ","Angoulême (Poitou-Charentes), France"
317,"    Marcoussis (Ile-de-France), France ","Paris (Ile-de-France), France"
318,,
319,,
320,,
321,"    Strasbourg (Alsace), France ","Strasbourg (Alsace), France"
322,"    Strasbourg (Alsace), France ","Strasbourg (Alsace), France"
323,"    Obernai (Alsace), France ","Esch-sur-Alzette (Luxembourg), Luxemburg"
324,"    Esch-sur-Alzette (Luxembourg), Luxemburg ","Valkenburg aan de Geul (Limburg), The Netherlands"
325,"    Huy (Liege), Belgium ","Saint-Quentin (Picardie), France"
326,"    Beauvais (Picardie), France ","Caen (Basse-Normandie), France"
327,"    Lisieux (Basse-Normandie), France ","Vitré (Bretagne), France"
328,"    Saint-Grégoire (Haute-Normandie), France ","Rennes (Bretagne), France"
329,"    Saint-Méen-le-Grand (Bretagne), France ","Lorient (Bretagne), France"
