,Departure,Arrival
688,"    Le Bourg-d'Oisans (Rhone-Alpes), France ","Saint-Etienne (Pays de la Loire), France"
689,"    Saint-Étienne (Rhone-Alpes), France ","La Bourboule (Auvergne), France"
690,"    La Bourboule (Auvergne), France ","Montluçon (Auvergne), France"
691,"    Montluçon (Auvergne), France "," , France"
692,"     , France ","Blois (Centre), France"
693,"    Blois (Centre), France ","Nanterre (Ile-de-France), France"
694,"    La Défense (Ile-de-France), France ","Paris (Ile-de-France), France"
695,"    Donostia/San Sebastián (Pais Vasco), Spain ","Paris (Ile-de-France), France"
696,"    Donostia/San Sebastián (Pais Vasco), Spain ","Paris (Ile-de-France), France"
697,"    Donostia/San Sebastián (Pais Vasco), Spain ","Paris (Ile-de-France), France"
698,"    Donostia/San Sebastián (Pais Vasco), Spain ","Paris (Ile-de-France), France"
699,"    Lyon (Rhone-Alpes), France ","Lyon (Rhone-Alpes), France"
700,"    Lyon (Rhone-Alpes), France ","Lyon (Rhone-Alpes), France"
701,"    Bron (Rhone-Alpes), France ","Chassieu (Rhone-Alpes), France"
702,"    Villeurbanne (Rhone-Alpes), France ","Dijon (Bourgogne), France"
703,"    Dijon (Bourgogne), France ","Reims (Champagne-Ardenne), France"
704,"    Reims (Champagne-Ardenne), France ","Valenciennes (Nord-Pas-de-Calais), France"
705,"    Arras (Nord-Pas-de-Calais), France ","Le Havre (Haute-Normandie), France"
706,"    Le Havre (Haute-Normandie), France ","Argentan (Basse-Normandie), France"
707,,"Alençon (Basse-Normandie), France"
708,"    Alençon (Basse-Normandie), France ","Rennes (Bretagne), France"
709,"    Rennes (Bretagne), France ","Quimper (Bretagne), France"
710,"    Quimper (Bretagne), France ","Saint-Herblain (Pays de la Loire), France"
711,"    Pau (Aquitaine), France ","Jaca (Aragon), Spain"
712,"    Jaca (Aragon), Spain ",
713,"    Saint-Gaudens (Midi-Pyrenees), France ","Castres (Midi-Pyrenees), France"
714,"    Albi (Midi-Pyrenees), France ","Alés (Languedoc-Roussillon), France"
715,"    Alés (Languedoc-Roussillon), France ","Gap (Provence-Alpes-Cote d'Azur), France"
716,"    Gap (Provence-Alpes-Cote d'Azur), France ","L'Alpe-d'Huez (Rhone-Alpes), France"
717,"    Le Bourg-d'Oisans (Rhone-Alpes), France ","Morzine (Rhone-Alpes), France"
718,"    Morzine (Rhone-Alpes), France ","Aix-les-Bains (Rhone-Alpes), France"
719,"    Aix-les-Bains (Rhone-Alpes), France ","Mâcon (Bourgogne), France"
720,"    Lugny (Bourgogne), France ","Mâcon (Bourgogne), France"
721,"    Melun (Ile-de-France), France ","Paris (Ile-de-France), France"
722,"    Lyon (Rhone-Alpes), France ","Paris (Ile-de-France), France"
723,"    Lyon (Rhone-Alpes), France ","Paris (Ile-de-France), France"
724,"    Lyon (Rhone-Alpes), France ","Paris (Ile-de-France), France"
725,"    Lyon (Rhone-Alpes), France ","Paris (Ile-de-France), France"
726,"    Futuroscope (Poitou-Charentes), France ","Futuroscope (Poitou-Charentes), France"
727,"    Futuroscope (Poitou-Charentes), France ","Futuroscope (Poitou-Charentes), France"
728,"    Futuroscope (Poitou-Charentes), France ","Futuroscope (Poitou-Charentes), France"
729,"    Poitiers (Poitou-Charentes), France ","Nantes (Pays de la Loire), France"
730,"    Nantes (Pays de la Loire), France ","Mont Saint Michel (Bretagne), France"
731,"    Avranches (Basse-Normandie), France ","Rouen (Haute-Normandie), France"
732,"    Sarrebourg (Lorraine), France ","Vittel (Lorraine), France"
733,"    Vittel (Lorraine), France ","Épinal (Lorraine), France"
734,"    Épinal (Lorraine), France ","Besançon (Franche-Comte), France"
735,"    Besançon (Franche-Comte), France "," , Switzerland"
736,"    Genève (Geneve), Switzerland ","Saint-Gervais (Rhone-Alpes), France"
737,"    Saint-Gervais (Rhone-Alpes), France ","L'Alpe-d'Huez (Rhone-Alpes), France"
738,"    Fontaine (Rhone-Alpes), France ","Villard-de-Lans (Rhone-Alpes), France"
739,"    Villard-de-Lans (Rhone-Alpes), France ","Saint-Étienne (Rhone-Alpes), France"
740,"    Le Puy-en Velay (Auvergne), France ","Millau (Midi-Pyrenees), France"
741,"    Millau (Midi-Pyrenees), France ","Revel (Midi-Pyrenees), France"
742,"    Blagnac (Midi-Pyrenees), France ","Luz (Midi-Pyrenees), France"
743,"    Lourdes (Midi-Pyrenees), France ","Pau (Aquitaine), France"
744,"    Pau (Aquitaine), France ","Bordeaux (Aquitaine), France"
745,"    Castillon-la-Bataille (Aquitaine), France ","Limoges (Limousin), France"
746,"    Lac de Vassivière (Limousin), France ","Lac de Vassivière (Limousin), France"
747,"    Brétigney (Franche-Comte), France ","Paris (Ile-de-France), France"
748,"    Futuroscope (Poitou-Charentes), France ","Paris (Ile-de-France), France"
749,"    Futuroscope (Poitou-Charentes), France ","Paris (Ile-de-France), France"
750,"    Futuroscope (Poitou-Charentes), France ","Paris (Ile-de-France), France"
751,"    Futuroscope (Poitou-Charentes), France ","Paris (Ile-de-France), France"
752,"    Luxembourg (Luxembourg), Luxemburg ","Luxembourg (Luxembourg), Luxemburg"
753,"    Luxembourg (Luxembourg), Luxemburg ","Luxembourg (Luxembourg), Luxemburg"
754,"    Luxembourg (Luxembourg), Luxemburg ","Luxembourg (Luxembourg), Luxemburg"
755,"    Luxembourg (Luxembourg), Luxemburg ","Francorchamps (Liege), Belgium"
756,"    Liège (Liege), Belgium ","Wasquehal (Nord-Pas-de-Calais), France"
757,"    Dinard (Bretagne), France ","Rennes (Bretagne), France"
758,"    Rennes (Bretagne), France ","Futuroscope (Poitou-Charentes), France"
759,"    Poitiers (Poitou-Charentes), France ","Bourdeaux (Rhone-Alpes), France"
760,"    Marmande (Aquitaine), France ","Pau (Aquitaine), France"
761,"    Pau (Aquitaine), France ","Cauterets (Midi-Pyrenees), France"
762,"    Cauterets (Midi-Pyrenees), France ","Superbagnères (Midi-Pyrenees), France"
763,"    Luchon (Midi-Pyrenees), France ","Blagnac (Midi-Pyrenees), France"
764,"    Toulouse (Midi-Pyrenees), France ","Montpellier (Languedoc-Roussillon), France"
765,"    Montpellier (Languedoc-Roussillon), France ","Marseille (Provence-Alpes-Cote d'Azur), France"
766,"    Marseille (Provence-Alpes-Cote d'Azur), France ","Gap (Provence-Alpes-Cote d'Azur), France"
767,"    Gap (Provence-Alpes-Cote d'Azur), France ","Orcières (Provence-Alpes-Cote d'Azur), France"
768,"    Gap (Provence-Alpes-Cote d'Azur), France ","Briançon (Provence-Alpes-Cote d'Azur), France"
769,"    Briançon (Provence-Alpes-Cote d'Azur), France ","L'Alpe-d'Huez (Rhone-Alpes), France"
770,"    Le Bourg-d'Oisans (Rhone-Alpes), France ","Villard-de-Lans (Rhone-Alpes), France"
771,"    Villard-de-Lans (Rhone-Alpes), France ","Aix-les-Bains (Rhone-Alpes), France"
772,"    Aix-les-Bains (Rhone-Alpes), France ","L'Isle-d'Abeau (Rhone-Alpes), France"
773,"    Versailles (Ile-de-France), France ","Paris (Ile-de-France), France"
774,,"Paris (Ile-de-France), France"
775,,"Paris (Ile-de-France), France"
776,,"Paris (Ile-de-France), France"
777,,"Paris (Ile-de-France), France"
778,,"Paris (Ile-de-France), France"
779,"    Pornichet (Pays de la Loire), France ","La Baule-Escoublac (Pays de la Loire), France"
780,"    La Haie-Fouassière (Pays de la Loire), France ","Ancenis (Pays de la Loire), France"
781,"    La Haie-Fouassière (Pays de la Loire), France ","Ancenis (Pays de la Loire), France"
782,"    Nantes (Pays de la Loire), France ","Le Mans (Pays de la Loire), France"
783,"    Le Mans (Pays de la Loire), France ","Évreux (Haute-Normandie), France"
784,"    Neufchâtel-en-Bray (Haute-Normandie), France ","Liévin (Nord-Pas-de-Calais), France"
785,"    Liévin (Nord-Pas-de-Calais), France ","Wasquehal (Nord-Pas-de-Calais), France"
786,"    Wasquehal (Nord-Pas-de-Calais), France ","Reims (Champagne-Ardenne), France"
787,"    Reims (Champagne-Ardenne), France ","Nancy (Lorraine), France"
788,"    Nancy (Lorraine), France ","Strasbourg (Alsace), France"
789,"    Belfort (Franche-Comte), France ","Besançon (Franche-Comte), France"
790,"    Besançon (Franche-Comte), France ","Morzine (Rhone-Alpes), France"
791,"    Morzine (Rhone-Alpes), France ","L'Alpe-d'Huez (Rhone-Alpes), France"
792,"    Grenoble (Rhone-Alpes), France ","Villard-de-Lans (Rhone-Alpes), France"
793,"    Blagnac (Midi-Pyrenees), France ","Guzet Neige (Provence-Alpes-Cote d'Azur), France"
794,"    Saint-Girons (Midi-Pyrenees), France ","Luz (Midi-Pyrenees), France"
795,"    Tarbes (Midi-Pyrenees), France ","Pau (Aquitaine), France"
796,"    Pau (Aquitaine), France ","Bordeaux (Aquitaine), France"
797,"    Ruelle-sur-Touvre (Poitou-Charentes), France ","Limoges (Limousin), France"
798,"    Limoges (Limousin), France ","Puy de Dôme (Auvergne), France"
799,"    Clermont-Ferrand (Auvergne), France ","Chalon-sur-Saône (Bourgogne), France"
800,"    Santenay (Bourgogne), France ","Santenay (Bourgogne), France"
801,"    Nemours (Ile-de-France), France ","Paris (Ile-de-France), France"
802,"    Pornichet (Pays de la Loire), France ","Paris (Ile-de-France), France"
803,"    Pornichet (Pays de la Loire), France ","Paris (Ile-de-France), France"
804,"    Pornichet (Pays de la Loire), France ","Paris (Ile-de-France), France"
805,"    Pornichet (Pays de la Loire), France ","Paris (Ile-de-France), France"
806,"    Berlin (Berlin), West-Germany ","Berlin (Berlin), West-Germany"
807,"    Berlin (Berlin), West-Germany ","Berlin (Berlin), West-Germany"
808,"    Berlin (Berlin), West-Germany ","Berlin (Berlin), West-Germany"
809,"    Karlsruhe (Baden-Wurttemberg), Germany ","Stuttgart (Baden-Wurttemberg), Germany"
810,"    Stuttgart (Baden-Wurttemberg), West-Germany ","Pforzheim (Baden-Wurttemberg), West-Germany"
811,"    Pforzheim (Baden-Wurttemberg), West-Germany ","Strasbourg (Alsace), France"
812,"    Strasbourg (Alsace), France ","Épinal (Lorraine), France"
813,"    Épinal (Lorraine), France ","Troyes (Champagne-Ardenne), France"
814,"    Troyes (Champagne-Ardenne), France ","Épinay-sous-Sénart (Ile-de-France), France"
815,"    Orléans (Centre), France ","Renazé (Pays de la Loire), France"
816,"    Saumur (Pays de la Loire), France ","Futuroscope (Poitou-Charentes), France"
817,"    Poitiers (Poitou-Charentes), France ","Chaumeil (Limousin), France"
818,"    Brive-la-Gaillarde (Limousin), France ","Bordeaux (Aquitaine), France"
819,"    Bayonne (Aquitaine), France ","Pau (Aquitaine), France"
820,"    Pau (Aquitaine), France ","Luz (Midi-Pyrenees), France"
821,"    Tarbes (Midi-Pyrenees), France ","Blagnac (Midi-Pyrenees), France"
822,"    Blagnac (Midi-Pyrenees), France ","Millau (Midi-Pyrenees), France"
823,"    Millau (Midi-Pyrenees), France ","Avignon (Provence-Alpes-Cote d'Azur), France"
824,"    Carpentras (Provence-Alpes-Cote d'Azur), France ","Mont Ventoux (Provence-Alpes-Cote d'Azur), France"
825,"    Valréas (Provence-Alpes-Cote d'Azur), France ","Villard-de-Lans (Rhone-Alpes), France"
826,"    Villard-de-Lans (Rhone-Alpes), France ","L'Alpe-d'Huez (Rhone-Alpes), France"
827,"    Le Bourg-d'Oisans (Rhone-Alpes), France ","La Plaine (Provence-Alpes-Cote d'Azur), France"
828,"    La Plagne  (Rhone-Alpes), France ","Morzine (Rhone-Alpes), France"
829,"    Saint-Julien-en-Genevois (Rhone-Alpes), France ","Dijon (Bourgogne), France"
830,"    Dijon (Bourgogne), France ","Dijon (Bourgogne), France"
831,"    Créteil (Ile-de-France), France ","Paris (Ile-de-France), France"
832,"    Berlin (Berlin), Germany ","Paris (Ile-de-France), France"
833,"    Berlin (Berlin), Germany ","Paris (Ile-de-France), France"
834,,"Paris (Ile-de-France), France"
835,,"Paris (Ile-de-France), France"
836,"    Boulogne-Billancourt (Ile-de-France), France ","Boulogne-Billancourt (Ile-de-France), France"
837,"    Nanterre (Ile-de-France), France ","Sceaux (Ile-de-France), France"
838,"    Meudon (Ile-de-France), France ","Saint-Quentin-en-Yvelines (Ile-de-France), France"
839,"    Levallois-Perret (Ile-de-France), France ","Liévin (Nord-Pas-de-Calais), France"
840,"    Liévin (Nord-Pas-de-Calais), France ","Évreux (Haute-Normandie), France"
841,"    Evreux-le-Coudray (Haute-Normandie), France ","Villers-sur-Mer (Basse-Normandie), France"
842,"    Villers-sur-Mer (Basse-Normandie), France ","Cherbourg (Basse-Normandie), France"
843,"    Cherbourg (Basse-Normandie), France ","Saint-Hilaire-du-Harcouët (Basse-Normandie), France"
844,"    Nantes (Pays de la Loire), France ","Futuroscope (Poitou-Charentes), France"
845,"    Poitiers (Poitou-Charentes), France ","Bordeaux (Aquitaine), France"
846,"    Saint-Hilaire-du-Harcouët (Basse-Normandie), France ","Nantes (Pays de la Loire), France"
847,"    Nantes (Pays de la Loire), France ","Nantes (Pays de la Loire), France"
848,"    Bayonne (Aquitaine), France ","Pau (Aquitaine), France"
849,"    Pau (Aquitaine), France ","Luchon (Midi-Pyrenees), France"
850,"    Luchon (Midi-Pyrenees), France ","Blagnac (Midi-Pyrenees), France"
851,"    Carcassonne (Languedoc-Roussillon), France ","Nîmes (Languedoc-Roussillon), France"
852,"    Nîmes (Languedoc-Roussillon), France ","Gap (Provence-Alpes-Cote d'Azur), France"
853,"    Gap (Provence-Alpes-Cote d'Azur), France ","Briançon (Provence-Alpes-Cote d'Azur), France"
854,"    Briançon (Provence-Alpes-Cote d'Azur), France ","L'Alpe-d'Huez (Rhone-Alpes), France"
855,"    Villard-de-Lans (Rhone-Alpes), France ","Saint-Étienne (Rhone-Alpes), France"
856,"    Saint-Etienne (Pays de la Loire), France ","Saint-Etienne (Pays de la Loire), France"
857,"    Saint-Etienne (Pays de la Loire), France ","Puy de Dôme (Auvergne), France"
858,"    Clermont-Ferrand (Auvergne), France ","Nevers (Bourgogne), France"
859,"    Cosne-sur-Loire (Bourgogne), France ","Paris (Ile-de-France), France"
860,,"Paris (Ile-de-France), France"
861,"    Boulogne-Billancourt (Ile-de-France), France ","Paris (Ile-de-France), France"
862,"    Boulogne-Billancourt (Ile-de-France), France ","Paris (Ile-de-France), France"
863,"    Boulogne-Billancourt (Ile-de-France), France ","Paris (Ile-de-France), France"
864,"    Plumelec (Bretagne), France ","Plumelec (Bretagne), France"
865,"    Vannes (Bretagne), France ","Lanester (Bretagne), France"
866,"    Lorient (Bretagne), France ","Vitré (Bretagne), France"
867,"    Vitré (Bretagne), France ","Fougères (Bretagne), France"
868,"    Fougères (Bretagne), France ","Pont-Audemer (Haute-Normandie), France"
869,"    Neufchâtel-en-Bray (Haute-Normandie), France ","Tourcoing (Nord-Pas-de-Calais), France"
870,"    Tourcoing (Nord-Pas-de-Calais), France ","Reims (Champagne-Ardenne), France"
871,"    Reims (Champagne-Ardenne), France ","Nancy (Lorraine), France"
872,"    Sarrebourg (Lorraine), France ","Strasbourg (Alsace), France"
873,"    Strasbourg (Alsace), France ","Épinal (Lorraine), France"
874,"    Épinal (Lorraine), France ","Pontarlier (Franche-Comte), France"
875,"    Pontarlier (Franche-Comte), France ","Morzine (Rhone-Alpes), France"
876,"    Morzine (Rhone-Alpes), France ","Lans-en-Vercors (Rhone-Alpes), France"
877,"    Villard-de-Lans (Rhone-Alpes), France ","Villard-de-Lans (Rhone-Alpes), France"
878,"    Autrans (Rhone-Alpes), France ","Saint-Étienne (Rhone-Alpes), France"
879,"    Saint-Étienne (Rhone-Alpes), France ","Aurillac (Auvergne), France"
880,"    Aurillac (Auvergne), France ","Toulouse (Midi-Pyrenees), France"
881,"    Toulouse (Midi-Pyrenees), France ","Luz (Midi-Pyrenees), France"
882,"    Luz-Saint-Sauveur (Midi-Pyrenees), France ","Col d'Aubisque (Midi-Pyrenees), France"
883,"    Laruns (Aquitaine), France ","Pau (Aquitaine), France"
884,"    Pau (Aquitaine), France ","Bordeaux (Aquitaine), France"
885,"    Montpon-Ménestérol (Aquitaine), France ","Limoges (Limousin), France"
886,"    Lac de Vassivière (Limousin), France ","Lac de Vassivière (Limousin), France"
887,"    Orléans (Centre), France ","Paris (Ile-de-France), France"
888,"    Plumelec (Bretagne), France ","Paris (Ile-de-France), France"
889,"    Plumelec (Bretagne), France ","Paris (Ile-de-France), France"
890,"    Plumelec (Bretagne), France ","Paris (Ile-de-France), France"
891,"    Plumelec (Bretagne), France ","Paris (Ile-de-France), France"
892,"    Plumelec (Bretagne), France ","Paris (Ile-de-France), France"
893,"    Plumelec (Bretagne), France ","Paris (Ile-de-France), France"
894,"    Plumelec (Bretagne), France ","Paris (Ile-de-France), France"
895,"    Montreuil-sous-Bois (Ile-de-France), France ","Noisy-le-Sec (Ile-de-France), France"
896,"    Bondy (Ile-de-France), France ","Saint-Denis (Ile-de-France), France"
897,"    Bobigny (Ile-de-France), France ","Louvroil (Nord-Pas-de-Calais), France"
898,"    Louvroil (Nord-Pas-de-Calais), France ","Valenciennes (Nord-Pas-de-Calais), France"
899,"    Valenciennes (Nord-Pas-de-Calais), France ","Béthune (Nord-Pas-de-Calais), France"
900,"    Béthune (Nord-Pas-de-Calais), France ","Cergy-Pontoise (Ile-de-France), France"
901,"    Cergy-Pontoise (Ile-de-France), France ","Alençon (Basse-Normandie), France"
902,"    Alençon (Basse-Normandie), France ","Le Mans (Pays de la Loire), France"
903,"    Le Mans (Pays de la Loire), France ","Nantes (Pays de la Loire), France"
904,"    Nantes (Pays de la Loire), France ","Bordeaux (Aquitaine), France"
905,"    Bordeaux (Aquitaine), France ","Pau (Aquitaine), France"
906,"    Pau (Aquitaine), France ","Guzet Neige (Provence-Alpes-Cote d'Azur), France"
907,"    Saint-Girons (Midi-Pyrenees), France ","Blagnac (Midi-Pyrenees), France"
908,"    Blagnac (Midi-Pyrenees), France ","Rodez (Midi-Pyrenees), France"
909,"    Rodez (Midi-Pyrenees), France ","Domaine du Rouret  (Provence-Alpes-Cote d'Azur), France"
910,"    Domaine du Rouret  (Provence-Alpes-Cote d'Azur), France ","Grenoble (Rhone-Alpes), France"
911,"    Les Échelles (Rhone-Alpes), France ","La Ruchère (Rhone-Alpes), France"
912,"    Grenoble (Rhone-Alpes), France ","L'Alpe-d'Huez (Rhone-Alpes), France"
913,"    L'Alpe-d'Huez (Rhone-Alpes), France ","La Plaine (Provence-Alpes-Cote d'Azur), France"
914,"    La Plaine (Provence-Alpes-Cote d'Azur), France ","Morzine (Rhone-Alpes), France"
915,"    Morzine (Rhone-Alpes), France ","Crans (Rhone-Alpes), France"
916,"    Crans (Rhone-Alpes), France ","Villefranche (Bourgogne), France"
917,"    Villié-Morgon (Rhone-Alpes), France ","Villefranche (Bourgogne), France"
918,"    Pantin (Ile-de-France), France ","Paris (Ile-de-France), France"
919,"    Montreuil-sous-Bois (Ile-de-France), France ","Paris (Ile-de-France), France"
920,"    Montreuil-sous-Bois (Ile-de-France), France ","Paris (Ile-de-France), France"
921,"    Montreuil-sous-Bois (Ile-de-France), France ","Paris (Ile-de-France), France"
922,"    Montreuil-sous-Bois (Ile-de-France), France ","Paris (Ile-de-France), France"
923,"    Montreuil-sous-Bois (Ile-de-France), France ","Paris (Ile-de-France), France"
924,"    Fontenay-sous-Bois (Ile-de-France), France ","Fontenay-sous-Bois (Ile-de-France), France"
925,"    Nogent-sur-Marne (Ile-de-France), France ","Créteil (Ile-de-France), France"
926,"    Soissons (Picardie), France ","Fontaine-au-Pire (Nord-Pas-de-Calais), France"
927,"    Valenciennes (Nord-Pas-de-Calais), France ","Roubaix (Nord-Pas-de-Calais), France"
928,"    Roubaix (Nord-Pas-de-Calais), France ","Le Havre (Haute-Normandie), France"
929,"    Le Havre (Haute-Normandie), France ","Le Mans (Pays de la Loire), France"
930,"    Châteaubriant (Pays de la Loire), France ","Nantes (Pays de la Loire), France"
931,"    Nantes (Pays de la Loire), France ","Ile d'Oleron (Poitou-Charentes), France"
932,"    La Rochelle (Poitou-Charentes), France ","Bordeaux (Aquitaine), France"
933,"    Bordeaux (Aquitaine), France ","Pau (Aquitaine), France"
934,"    Pau (Aquitaine), France ","Luchon (Midi-Pyrenees), France"
935,"    Luchon (Midi-Pyrenees), France ","Fleurance (Midi-Pyrenees), France"
936,"    Fleurance (Midi-Pyrenees), France ","Roquefort (Midi-Pyrenees), France"
937,"    Roquefort (Midi-Pyrenees), France ","Aurillac (Auvergne), France"
938,"    Aurillac (Auvergne), France ","Issoire (Auvergne), France"
939,"    Clermont-Ferrand (Auvergne), France ","Puy de Dôme (Auvergne), France"
940,"    Issoire (Auvergne), France ","Saint-Étienne (Rhone-Alpes), France"
941,"    La Tour-du-Pin (Rhone-Alpes), France ","L'Alpe-d'Huez (Rhone-Alpes), France"
942,"    L'Alpe-d'Huez (Rhone-Alpes), France ","Morzine (Rhone-Alpes), France"
943,"    Morzine (Rhone-Alpes), France ","Avoriaz (Rhone-Alpes), France"
944,"    Morzine (Rhone-Alpes), France ","Dijon (Bourgogne), France"
945,"    Dijon (Bourgogne), France ","Dijon (Bourgogne), France"
946,"    Alfortville (Ile-de-France), France ","Paris (Ile-de-France), France"
947,"    Fontenay-sous-Bois (Ile-de-France), France ","Paris (Ile-de-France), France"
948,"    Fontenay-sous-Bois (Ile-de-France), France ","Paris (Ile-de-France), France"
949,"    Fontenay-sous-Bois (Ile-de-France), France ","Paris (Ile-de-France), France"
950,"    Fontenay-sous-Bois (Ile-de-France), France ","Paris (Ile-de-France), France"
951,"    Fontenay-sous-Bois (Ile-de-France), France ","Paris (Ile-de-France), France"
952,"    Basel (Basel-Stadt), Switzerland ","Basel (Basel-Stadt), Switzerland"
953,"    Schupfart (Aargau), Switzerland ","Möhlin (Aargau), Switzerland"
954,"    Basel (Basel-Stadt), Switzerland ","Nancy (Lorraine), France"
955,"    Nancy (Lorraine), France ","Longwy (Lorraine), France"
956,"    Beaurain (Nord-Pas-de-Calais), France ","Mouscron (Hainaut), Belgium"
957,"    Orchies (Nord-Pas-de-Calais), France ","Fontaine-au-Pire (Nord-Pas-de-Calais), France"
958,"    Lille (Nord-Pas-de-Calais), France ","Lille (Nord-Pas-de-Calais), France"
959,"    Cancale (Bretagne), France ","Concarneau (Bretagne), France"
960,"    Concarneau (Bretagne), France ","Châteaulin (Bretagne), France"
961,"    Lorient (Bretagne), France ","Plumelec (Bretagne), France"
962,"    Plumelec (Bretagne), France ","Plumelec (Bretagne), France"
963,"    Saintes (Poitou-Charentes), France ","Bordeaux (Aquitaine), France"
964,"    Valence-d'Agen (Midi-Pyrenees), France ","Valence-d'Agen (Midi-Pyrenees), France"
965,"    Fleurance (Midi-Pyrenees), France ","Pau (Aquitaine), France"
966,"    Pau (Aquitaine), France ","Pla d'Adet (Midi-Pyrenees), France"
967,"    Martigues (Provence-Alpes-Cote d'Azur), France ","Martigues (Provence-Alpes-Cote d'Azur), France"
968,"    Manosque (Provence-Alpes-Cote d'Azur), France ","Orcières (Provence-Alpes-Cote d'Azur), France"
969,"    Orcières (Provence-Alpes-Cote d'Azur), France ","L'Alpe-d'Huez (Rhone-Alpes), France"
970,"    L'Alpe-d'Huez (Rhone-Alpes), France ","Morzine (Rhone-Alpes), France"
971,"    Morzine (Rhone-Alpes), France ","Saint-Priest (Rhone-Alpes), France"
972,"    Saint-Priest (Rhone-Alpes), France ","Saint-Priest (Rhone-Alpes), France"
973,"    Sens (Bourgogne), France ","Aulnay-sous-Bois (Ile-de-France), France"
974,"    Fontenay-sous-Bois (Ile-de-France), France ","Paris (Ile-de-France), France"
975,"    Basel (Basel-Stadt), Switzerland ","Paris (Ile-de-France), France"
976,"    Basel (Basel-Stadt), Switzerland ","Paris (Ile-de-France), France"
977,"    Basel (Basel-Stadt), Switzerland ","Paris (Ile-de-France), France"
978,"    Basel (Basel-Stadt), Switzerland ","Paris (Ile-de-France), France"
979,"    Basel (Basel-Stadt), Switzerland ","Paris (Ile-de-France), France"
980,"    Basel (Basel-Stadt), Switzerland ","Paris (Ile-de-France), France"
981,"    Nice (Provence-Alpes-Cote d'Azur), France ","Nice (Provence-Alpes-Cote d'Azur), France"
982,"    Nice (Provence-Alpes-Cote d'Azur), France ","Nice (Provence-Alpes-Cote d'Azur), France"
983,"    Nice (Provence-Alpes-Cote d'Azur), France ","Nice (Provence-Alpes-Cote d'Azur), France"
984,"    Nice (Provence-Alpes-Cote d'Azur), France ","Martigues (Provence-Alpes-Cote d'Azur), France"
985,"    Martigues (Provence-Alpes-Cote d'Azur), France ","Narbonne-Plage (Languedoc-Roussillon), France"
986,"    Narbonne (Languedoc-Roussillon), France ","Carcassonne (Languedoc-Roussillon), France"
987,"    Saint-Gaudens (Midi-Pyrenees), France ","Saint-Lary-Soulan (Midi-Pyrenees), France"
988,"    Nay (Aquitaine), France ","Pau (Aquitaine), France"
989,"    Pau (Aquitaine), France ","Bordeaux (Aquitaine), France"
990,"    Rochefort (Poitou-Charentes), France ","Nantes (Pays de la Loire), France"
991,"    Nantes (Pays de la Loire), France ","Le Mans (Pays de la Loire), France"
992,"    Le Mans (Pays de la Loire), France ","Aulnay-sous-Bois (Ile-de-France), France"
993,"    Compiègne (Picardie), France ","Roubaix (Nord-Pas-de-Calais), France"
994,"    Roubaix (Nord-Pas-de-Calais), France ","Bruxelles (Brussels Hoofdstedelijk Gewest), Belgium"
995,"    Brussel/Bruxelles (Brussels Hoofdstedelijk Gewest), Belgium ","Zolder (Limburg), Belgium"
996,"    Beringen (Limburg), Belgium ","Hasselt (Limburg), Belgium"
997,"    Mulhouse (Alsace), France ","Mulhouse (Alsace), France"
998,"    Besançon (Franche-Comte), France ","Thonon-les-Bains (Rhone-Alpes), France"
999,"    Thonon-les-Bains (Rhone-Alpes), France ","Morzine (Rhone-Alpes), France"
1000,"    Morzine (Rhone-Alpes), France ","L'Alpe-d'Huez (Rhone-Alpes), France"
1001,"    Le Bourg-d'Oisans (Rhone-Alpes), France ",
1002,"    Veurey-Voroize (Rhone-Alpes), France ","Saint-Priest (Rhone-Alpes), France"
1003,"    Saint-Priest (Rhone-Alpes), France ","Saint-Priest (Rhone-Alpes), France"
1004,"    Auxerre (Bourgogne), France ","Fontenay-sous-Bois (Ile-de-France), France"
1005,"    Fontenay-sous-Bois (Ile-de-France), France ","Paris (Ile-de-France), France"
1006,"    Nice (Provence-Alpes-Cote d'Azur), France ","Paris (Ile-de-France), France"
1007,"    Nice (Provence-Alpes-Cote d'Azur), France ","Paris (Ile-de-France), France"
1008,"    Nice (Provence-Alpes-Cote d'Azur), France ","Paris (Ile-de-France), France"
1009,"    Nice (Provence-Alpes-Cote d'Azur), France ","Paris (Ile-de-France), France"
1010,,
1011,,"Wiesbaden (Hessen), West-Germany"
1012,"    Wiesbaden (Hessen), West-Germany ",
1013,,"Metz (Lorraine), France"
1014,"    Metz (Lorraine), France ","Luik (Liege), Belgium"
1015,"    Spa (Liege), Belgium ","Spa (Liege), Belgium"
1016,"    Luik (Liege), Belgium ","Lille (Nord-Pas-de-Calais), France"
1017,"    Lille (Nord-Pas-de-Calais), France ","Compiègne (Picardie), France"
1018,"    Compiègne (Picardie), France ","Beauvais (Picardie), France"
1019,"    Beauvais (Picardie), France ","Rouen (Haute-Normandie), France"
1020,"    Flers (Basse-Normandie), France ","Saint-Malo (Bretagne), France"
1021,"    Saint-Malo (Bretagne), France ","Nantes (Pays de la Loire), France"
1022,"    Rochefort (Poitou-Charentes), France ","Bordeaux (Aquitaine), France"
1023,"    Damazan (Aquitaine), France ","Laplume (Aquitaine), France"
1024,"    Agen (Aquitaine), France ","Pau (Aquitaine), France"
1025,"    Pau (Aquitaine), France ","Bagnères-de-Luchon (Midi-Pyrenees), France"
1026,"    Lézignan-Corbières (Languedoc-Roussillon), France ","Montpellier (Languedoc-Roussillon), France"
