,Date
1475,1965-07-14
1476,1965-07-14
1477,1965-07-14
1478,1965-07-14
1479,1964-06-22
1480,1964-06-23
1481,1964-06-24
1482,1964-06-24
1483,1964-06-25
1484,1964-06-26
1485,1964-06-27
1486,1964-06-28
1487,1964-06-29
1488,1964-06-30
1489,1964-01-07
1490,1964-01-07
1491,1964-02-07
1492,1964-03-07
1493,1964-04-07
1494,1964-06-07
1495,1964-07-07
1496,1964-08-07
1497,1964-09-07
1498,1964-10-07
1499,1964-11-07
1500,1964-12-07
1501,1964-07-13
1502,1964-07-14
1503,1964-07-14
1504,1964-07-14
1505,1964-07-14
1506,1964-07-14
1507,1963-06-23
1508,1963-06-24
1509,1963-06-24
1510,1963-06-25
1511,1963-06-26
1512,1963-06-27
1513,1963-06-28
1514,1963-06-28
1515,1963-06-29
1516,1963-06-30
1517,1963-01-07
1518,1963-02-07
1519,1963-03-07
1520,1963-04-07
1521,1963-05-07
1522,1963-07-07
1523,1963-08-07
1524,1963-09-07
1525,1963-10-07
1526,1963-11-07
1527,1963-12-07
1528,1963-07-13
1529,1963-07-14
1530,1963-07-14
1531,1963-07-14
1532,1963-07-14
1533,1962-06-24
1534,1962-06-25
1535,1962-06-25
1536,1962-06-26
1537,1962-06-27
1538,1962-06-28
1539,1962-06-29
1540,1962-06-30
1541,1962-01-07
1542,1962-01-07
1543,1962-02-07
1544,1962-03-07
1545,1962-04-07
1546,1962-05-07
1547,1962-06-07
1548,1962-07-07
1549,1962-08-07
1550,1962-09-07
1551,1962-10-07
1552,1962-11-07
1553,1962-12-07
1554,1962-07-13
1555,1962-07-14
1556,1962-07-15
1557,1962-07-15
1558,1962-07-15
1559,1962-07-15
1560,1961-06-25
1561,1961-06-25
1562,1961-06-26
1563,1961-06-27
1564,1961-06-28
1565,1961-06-29
1566,1961-06-30
1567,1961-01-07
1568,1961-02-07
1569,1961-03-07
1570,1961-04-07
1571,1961-05-07
1572,1961-06-07
1573,1961-07-07
1574,1961-09-07
1575,1961-10-07
1576,1961-11-07
1577,1961-12-07
1578,1961-07-13
1579,1961-07-14
1580,1961-07-15
1581,1961-07-16
1582,1961-07-16
1583,1961-07-16
1584,1961-07-16
1585,1960-06-26
1586,1960-06-26
1587,1960-06-27
1588,1960-06-28
1589,1960-06-29
1590,1960-06-30
1591,1960-01-07
1592,1960-02-07
1593,1960-03-07
1594,1960-04-07
1595,1960-05-07
1596,1960-06-07
1597,1960-07-07
1598,1960-08-07
1599,1960-10-07
1600,1960-11-07
1601,1960-12-07
1602,1960-07-13
1603,1960-07-14
1604,1960-07-15
1605,1960-07-16
1606,1960-07-17
1607,1960-07-17
1608,1960-07-17
1609,1960-07-17
1610,1959-06-25
1611,1959-06-26
1612,1959-06-27
1613,1959-06-28
1614,1959-06-29
1615,1959-06-30
1616,1959-01-07
1617,1959-02-07
1618,1959-03-07
1619,1959-05-07
1620,1959-06-07
1621,1959-07-07
1622,1959-08-07
1623,1959-09-07
1624,1959-10-07
1625,1959-11-07
1626,1959-07-13
1627,1959-07-14
1628,1959-07-15
1629,1959-07-16
1630,1959-07-17
1631,1959-07-18
1632,1959-07-18
1633,1959-07-18
1634,1959-07-18
1635,1958-06-26
1636,1958-06-27
1637,1958-06-28
1638,1958-06-29
1639,1958-06-30
1640,1958-01-07
1641,1958-02-07
1642,1958-03-07
1643,1958-04-07
1644,1958-05-07
1645,1958-06-07
1646,1958-07-07
1647,1958-08-07
1648,1958-09-07
1649,1958-10-07
1650,1958-11-07
1651,1958-12-07
1652,1958-07-13
1653,1958-07-14
1654,1958-07-15
1655,1958-07-16
1656,1958-07-17
1657,1958-07-18
1658,1958-07-19
1659,1958-07-19
1660,1958-07-19
1661,1958-07-19
1662,1957-06-27
1663,1957-06-28
1664,1957-06-29
1665,1957-06-29
1666,1957-06-30
1667,1957-01-07
1668,1957-02-07
1669,1957-03-07
1670,1957-04-07
1671,1957-05-07
1672,1957-07-07
1673,1957-08-07
1674,1957-09-07
1675,1957-10-07
1676,1957-11-07
1677,1957-12-07
1678,1957-07-13
1679,1957-07-14
1680,1957-07-15
1681,1957-07-16
1682,1957-07-17
1683,1957-07-18
1684,1957-07-19
1685,1957-07-20
1686,1957-07-20
1687,1957-07-20
1688,1957-07-20
1689,1956-05-07
1690,1956-06-07
1691,1956-07-07
1692,1956-08-07
1693,1956-08-07
1694,1956-09-07
1695,1956-10-07
1696,1956-11-07
1697,1956-12-07
1698,1956-07-13
1699,1956-07-15
1700,1956-07-16
1701,1956-07-17
1702,1956-07-18
1703,1956-07-19
1704,1956-07-20
1705,1956-07-22
1706,1956-07-23
1707,1956-07-24
1708,1956-07-25
1709,1956-07-26
1710,1956-07-27
1711,1956-07-28
1712,1956-07-28
1713,1956-07-28
1714,1956-07-28
1715,1955-07-07
1716,1955-07-07
1717,1955-08-07
1718,1955-09-07
1719,1955-10-07
1720,1955-11-07
1721,1955-12-07
1722,1955-07-13
1723,1955-07-14
1724,1955-07-15
1725,1955-07-17
1726,1955-07-18
1727,1955-07-19
1728,1955-07-20
1729,1955-07-21
1730,1955-07-22
1731,1955-07-24
1732,1955-07-25
1733,1955-07-26
1734,1955-07-27
1735,1955-07-28
1736,1955-07-29
1737,1955-07-30
1738,1955-07-30
1739,1955-07-30
1740,1955-07-30
1741,1954-08-07
1742,1954-09-07
1743,1954-10-07
1744,1954-11-07
1745,1954-11-07
1746,1954-12-07
1747,1954-07-13
1748,1954-07-14
1749,1954-07-15
1750,1954-07-16
1751,1954-07-18
1752,1954-07-19
1753,1954-07-20
1754,1954-07-21
1755,1954-07-22
1756,1954-07-23
1757,1954-07-24
1758,1954-07-26
1759,1954-07-27
1760,1954-07-28
1761,1954-07-29
1762,1954-07-30
1763,1954-07-30
1764,1954-07-31
1765,1954-01-08
1766,1954-01-08
1767,1954-01-08
1768,1954-01-08
1769,1953-03-07
1770,1953-04-07
1771,1953-05-07
1772,1953-06-07
1773,1953-07-07
1774,1953-08-07
1775,1953-09-07
1776,1953-10-07
1777,1953-12-07
1778,1953-07-13
1779,1953-07-14
1780,1953-07-15
1781,1953-07-16
1782,1953-07-17
1783,1953-07-18
1784,1953-07-19
1785,1953-07-21
1786,1953-07-22
1787,1953-07-23
1788,1953-07-24
1789,1953-07-25
1790,1953-07-26
1791,1953-07-26
1792,1953-07-26
1793,1953-07-26
1794,1952-06-25
1795,1952-06-26
1796,1952-06-27
1797,1952-06-28
1798,1952-06-29
1799,1952-06-30
1800,1952-01-07
1801,1952-02-07
1802,1952-03-07
1803,1952-04-07
1804,1952-06-07
1805,1952-07-07
1806,1952-08-07
1807,1952-09-07
1808,1952-10-07
1809,1952-11-07
1810,1952-07-13
1811,1952-07-14
1812,1952-07-15
1813,1952-07-16
1814,1952-07-17
1815,1952-07-18
1816,1952-07-19
1817,1952-07-19
1818,1952-07-19
1819,1951-04-07
1820,1951-05-07
1821,1951-06-07
1822,1951-07-07
1823,1951-08-07
1824,1951-09-07
1825,1951-10-07
1826,1951-11-07
1827,1951-07-13
1828,1951-07-14
1829,1951-07-15
1830,1951-07-16
1831,1951-07-17
1832,1951-07-18
1833,1951-07-19
1834,1951-07-20
1835,1951-07-22
1836,1951-07-23
1837,1951-07-24
1838,1951-07-25
1839,1951-07-26
1840,1951-07-27
1841,1951-07-28
1842,1951-07-29
1843,1951-07-29
1844,1951-07-29
1845,1950-07-13
1846,1950-07-14
1847,1950-07-15
1848,1950-07-16
1849,1950-07-17
1850,1950-07-19
1851,1950-07-20
1852,1950-07-21
1853,1950-07-22
1854,1950-07-23
1855,1950-07-25
1856,1950-07-26
1857,1950-07-27
1858,1950-07-28
1859,1950-07-29
1860,1950-07-30
1861,1950-01-08
1862,1950-02-08
1863,1950-03-08
1864,1950-05-08
1865,1950-06-08
1866,1950-07-08
1867,1950-07-08
1868,1950-07-08
1869,1949-06-30
1870,1949-01-07
1871,1949-02-07
1872,1949-03-07
1873,1949-04-07
1874,1949-05-07
1875,1949-07-07
1876,1949-08-07
1877,1949-09-07
1878,1949-10-07
1879,1949-12-07
1880,1949-07-13
1881,1949-07-14
1882,1949-07-15
1883,1949-07-16
1884,1949-07-18
1885,1949-07-19
1886,1949-07-21
1887,1949-07-22
1888,1949-07-23
1889,1949-07-24
1890,1949-07-24
1891,1949-07-24
1892,1948-06-30
1893,1948-01-07
1894,1948-02-07
1895,1948-03-07
1896,1948-04-07
1897,1948-05-07
1898,1948-07-07
1899,1948-08-07
1900,1948-10-07
1901,1948-11-07
1902,1948-12-07
1903,1948-07-13
1904,1948-07-15
1905,1948-07-16
1906,1948-07-18
1907,1948-07-19
1908,1948-07-21
1909,1948-07-22
1910,1948-07-23
1911,1948-07-24
1912,1948-07-25
1913,1948-07-25
1914,1948-07-25
1915,1947-06-25
1916,1947-06-26
1917,1947-06-27
1918,1947-06-28
1919,1947-06-29
1920,1947-01-07
1921,1947-02-07
1922,1947-03-07
1923,1947-05-07
1924,1947-06-07
1925,1947-08-07
1926,1947-09-07
1927,1947-10-07
1928,1947-11-07
1929,1947-07-13
1930,1947-07-14
1931,1947-07-15
1932,1947-07-16
1933,1947-07-18
1934,1947-07-19
1935,1947-07-20
1936,1947-07-20
1937,1947-07-20
1938,1939-10-07
1939,1939-11-07
1940,1939-11-07
1941,1939-12-07
1942,1939-07-13
1943,1939-07-14
1944,1939-07-15
1945,1939-07-15
1946,1939-07-17
1947,1939-07-18
1948,1939-07-18
1949,1939-07-19
1950,1939-07-21
1951,1939-07-21
1952,1939-07-21
1953,1939-07-22
1954,1939-07-23
1955,1939-07-23
1956,1939-07-24
1957,1939-07-25
1958,1939-07-26
1959,1939-07-27
1960,1939-07-27
1961,1939-07-27
1962,1939-07-29
1963,1939-07-29
1964,1939-07-30
1965,1939-07-30
1966,1939-07-30
1967,1939-07-30
1968,1938-05-07
1969,1938-06-07
1970,1938-07-07
1971,1938-08-07
1972,1938-08-07
1973,1938-08-07
1974,1938-10-07
1975,1938-11-07
1976,1938-11-07
1977,1938-12-07
1978,1938-07-14
1979,1938-07-16
1980,1938-07-17
1981,1938-07-17
1982,1938-07-17
1983,1938-07-18
1984,1938-07-19
1985,1938-07-21
1986,1938-07-22
1987,1938-07-23
1988,1938-07-25
1989,1938-07-26
1990,1938-07-26
1991,1938-07-27
1992,1938-07-28
1993,1938-07-30
1994,1938-07-30
1995,1938-07-30
1996,1938-07-31
1997,1938-07-31
1998,1938-07-31
1999,1937-06-30
2000,1937-01-07
2001,1937-02-07
2002,1937-03-07
2003,1937-04-07
2004,1937-04-07
2005,1937-04-07
2006,1937-06-07
2007,1937-07-07
2008,1937-08-07
2009,1937-09-07
2010,1937-11-07
2011,1937-07-13
2012,1937-07-13
2013,1937-07-14
2014,1937-07-14
2015,1937-07-15
2016,1937-07-15
2017,1937-07-17
2018,1937-07-17
2019,1937-07-17
2020,1937-07-19
2021,1937-07-21
2022,1937-07-22
2023,1937-07-22
2024,1937-07-22
2025,1937-07-23
2026,1937-07-23
2027,1937-07-24
2028,1937-07-24
2029,1937-07-25
2030,1937-07-25
2031,1937-07-25
2032,1936-07-07
2033,1936-08-07
2034,1936-09-07
2035,1936-10-07
2036,1936-11-07
2037,1936-07-13
2038,1936-07-14
2039,1936-07-15
2040,1936-07-16
2041,1936-07-18
2042,1936-07-19
2043,1936-07-21
2044,1936-07-22
2045,1936-07-22
2046,1936-07-23
2047,1936-07-23
2048,1936-07-25
2049,1936-07-27
2050,1936-07-29
2051,1936-07-30
2052,1936-07-30
2053,1936-07-31
2054,1936-07-31
2055,1936-07-31
2056,1936-01-08
2057,1936-01-08
2058,1936-02-08
2059,1936-08-08
2060,1936-08-08
2061,1935-04-07
2062,1935-05-07
2063,1935-06-07
2064,1935-07-07
2065,1935-08-07
2066,1935-08-07
2067,1935-10-07
2068,1935-11-07
2069,1935-12-07
2070,1935-07-13
2071,1935-07-14
2072,1935-07-16
2073,1935-07-17
2074,1935-07-18
2075,1935-07-18
2076,1935-07-19
2077,1935-07-19
2078,1935-07-20
2079,1935-07-22
2080,1935-07-24
2081,1935-07-25
2082,1935-07-25
2083,1935-07-26
2084,1935-07-26
2085,1935-07-27
2086,1935-07-27
2087,1935-07-28
2088,1935-07-28
2089,1935-07-28
2090,1934-03-07
2091,1934-04-07
2092,1934-05-07
2093,1934-06-07
2094,1934-07-07
2095,1934-09-07
2096,1934-10-07
2097,1934-11-07
2098,1934-12-07
2099,1934-07-13
2100,1934-07-15
2101,1934-07-16
2102,1934-07-17
2103,1934-07-18
2104,1934-07-20
2105,1934-07-21
2106,1934-07-22
2107,1934-07-23
2108,1934-07-25
2109,1934-07-26
2110,1934-07-27
2111,1934-07-27
2112,1934-07-28
2113,1934-07-29
2114,1934-07-29
2115,1934-07-29
2116,1933-06-27
2117,1933-06-28
2118,1933-06-29
2119,1933-06-30
2120,1933-01-07
2121,1933-03-07
2122,1933-04-07
2123,1933-05-07
2124,1933-06-07
2125,1933-07-07
2126,1933-09-07
2127,1933-10-07
2128,1933-11-07
2129,1933-12-07
2130,1933-07-14
2131,1933-07-15
2132,1933-07-16
2133,1933-07-17
2134,1933-07-19
2135,1933-07-20
2136,1933-07-21
2137,1933-07-22
2138,1933-07-23
2139,1933-07-23
2140,1933-07-23
2141,1932-06-07
2142,1932-07-07
2143,1932-09-07
2144,1932-11-07
2145,1932-12-07
2146,1932-07-14
2147,1932-07-16
2148,1932-07-17
2149,1932-07-18
2150,1932-07-19
2151,1932-07-21
2152,1932-07-22
2153,1932-07-23
2154,1932-07-24
2155,1932-07-25
2156,1932-07-26
2157,1932-07-27
2158,1932-07-28
2159,1932-07-29
2160,1932-07-30
2161,1932-07-31
2162,1932-07-31
2163,1932-07-31
2164,1931-06-30
2165,1931-01-07
2166,1931-02-07
2167,1931-03-07
2168,1931-04-07
2169,1931-05-07
2170,1931-06-07
2171,1931-07-07
2172,1931-08-07
2173,1931-10-07
2174,1931-12-07
2175,1931-07-13
2176,1931-07-14
2177,1931-07-15
2178,1931-07-17
2179,1931-07-18
2180,1931-07-19
2181,1931-07-20
2182,1931-07-21
2183,1931-07-22
2184,1931-07-23
2185,1931-07-24
2186,1931-07-25
2187,1931-07-26
2188,1931-07-26
2189,1931-07-26
2190,1930-02-07
2191,1930-03-07
2192,1930-04-07
2193,1930-05-07
2194,1930-06-07
2195,1930-07-07
2196,1930-08-07
2197,1930-09-07
2198,1930-10-07
2199,1930-12-07
2200,1930-07-14
2201,1930-07-15
2202,1930-07-16
2203,1930-07-17
2204,1930-07-19
2205,1930-07-21
2206,1930-07-23
2207,1930-07-24
2208,1930-07-25
2209,1930-07-26
2210,1930-07-27
2211,1930-07-27
2212,1930-07-27
2213,1929-06-30
2214,1929-01-07
2215,1929-02-07
2216,1929-03-07
2217,1929-04-07
2218,1929-05-07
2219,1929-06-07
2220,1929-07-07
2221,1929-09-07
2222,1929-11-07
2223,1929-07-13
2224,1929-07-15
2225,1929-07-16
2226,1929-07-18
2227,1929-07-20
2228,1929-07-22
2229,1929-07-23
2230,1929-07-24
2231,1929-07-25
2232,1929-07-26
2233,1929-07-27
2234,1929-07-28
2235,1929-07-28
2236,1929-07-28
2237,1928-06-17
2238,1928-06-18
2239,1928-06-19
2240,1928-06-20
2241,1928-06-21
2242,1928-06-22
2243,1928-06-23
2244,1928-06-24
2245,1928-06-26
2246,1928-06-28
2247,1928-06-30
2248,1928-02-07
2249,1928-04-07
2250,1928-06-07
2251,1928-08-07
2252,1928-09-07
2253,1928-10-07
2254,1928-11-07
2255,1928-12-07
2256,1928-07-13
2257,1928-07-14
2258,1928-07-15
2259,1928-07-15
2260,1928-07-15
2261,1927-06-19
2262,1927-06-20
2263,1927-06-21
2264,1927-06-22
2265,1927-06-23
2266,1927-06-24
2267,1927-06-25
2268,1927-06-26
2269,1927-06-27
2270,1927-06-28
2271,1927-06-30
2272,1927-02-07
2273,1927-04-07
2274,1927-05-07
2275,1927-06-07
2276,1927-08-07
2277,1927-09-07
2278,1927-11-07
2279,1927-12-07
2280,1927-07-13
2281,1927-07-14
2282,1927-07-15
2283,1927-07-16
2284,1927-07-17
2285,1927-07-17
2286,1927-07-17
2287,1926-06-20
2288,1926-06-22
2289,1926-06-24
2290,1926-06-25
2291,1926-06-26
2292,1926-06-27
2293,1926-06-29
2294,1926-06-30
2295,1926-02-07
2296,1926-04-07
2297,1926-06-07
2298,1926-08-07
2299,1926-10-07
2300,1926-12-07
2301,1926-07-14
2302,1926-07-16
2303,1926-07-18
2304,1926-07-18
2305,1926-07-18
2306,1925-06-21
2307,1925-06-23
2308,1925-06-25
2309,1925-06-26
2310,1925-06-27
2311,1925-06-28
2312,1925-06-30
2313,1925-01-07
2314,1925-03-07
2315,1925-04-07
2316,1925-06-07
2317,1925-07-07
2318,1925-09-07
2319,1925-11-07
2320,1925-07-13
2321,1925-07-15
2322,1925-07-17
2323,1925-07-19
2324,1925-07-19
2325,1925-07-19
2326,1924-06-22
2327,1924-06-24
2328,1924-06-26
2329,1924-06-28
2330,1924-06-30
2331,1924-02-07
2332,1924-04-07
2333,1924-06-07
2334,1924-08-07
2335,1924-10-07
2336,1924-12-07
2337,1924-07-14
2338,1924-07-16
2339,1924-07-18
2340,1924-07-20
2341,1924-07-20
2342,1924-07-20
2343,1923-06-24
2344,1923-06-26
2345,1923-06-28
2346,1923-06-30
2347,1923-02-07
2348,1923-04-07
2349,1923-06-07
2350,1923-08-07
2351,1923-10-07
2352,1923-12-07
2353,1923-07-14
2354,1923-07-16
2355,1923-07-18
2356,1923-07-20
2357,1923-07-22
2358,1923-07-22
2359,1923-07-22
2360,1922-06-25
2361,1922-06-27
2362,1922-06-29
2363,1922-01-07
2364,1922-03-07
2365,1922-05-07
2366,1922-07-07
2367,1922-09-07
2368,1922-11-07
2369,1922-07-13
2370,1922-07-15
2371,1922-07-17
2372,1922-07-19
2373,1922-07-21
2374,1922-07-23
2375,1922-07-23
2376,1922-07-23
2377,1921-06-26
2378,1921-06-28
2379,1921-06-30
2380,1921-02-07
2381,1921-04-07
2382,1921-06-07
2383,1921-08-07
2384,1921-10-07
2385,1921-12-07
2386,1921-07-14
2387,1921-07-16
2388,1921-07-18
2389,1921-07-20
2390,1921-07-22
2391,1921-07-24
2392,1921-07-24
2393,1921-07-24
2394,1920-06-27
2395,1920-06-29
2396,1920-01-07
2397,1920-03-07
2398,1920-05-07
2399,1920-07-07
2400,1920-09-07
2401,1920-11-07
2402,1920-07-13
2403,1920-07-15
2404,1920-07-17
2405,1920-07-19
2406,1920-07-21
2407,1920-07-23
2408,1920-07-25
2409,1920-07-25
2410,1920-07-25
2411,1919-06-29
2412,1919-01-07
2413,1919-03-07
2414,1919-05-07
2415,1919-07-07
2416,1919-09-07
2417,1919-11-07
2418,1919-07-13
2419,1919-07-15
2420,1919-07-17
2421,1919-07-19
2422,1919-07-21
2423,1919-07-23
2424,1919-07-25
2425,1919-07-27
2426,1919-07-27
2427,1919-07-27
2428,1914-06-28
2429,1914-06-30
2430,1914-02-07
2431,1914-04-07
2432,1914-06-07
2433,1914-08-07
2434,1914-10-07
2435,1914-12-07
2436,1914-07-14
2437,1914-07-16
2438,1914-07-18
2439,1914-07-20
2440,1914-07-22
2441,1914-07-24
2442,1914-07-26
2443,1914-07-26
2444,1914-07-26
2445,1913-06-29
2446,1913-01-07
2447,1913-03-07
2448,1913-05-07
2449,1913-07-07
2450,1913-09-07
2451,1913-11-07
2452,1913-07-13
2453,1913-07-15
2454,1913-07-17
2455,1913-07-19
2456,1913-07-21
2457,1913-07-23
2458,1913-07-25
2459,1913-07-27
2460,1913-07-27
2461,1913-07-27
2462,1912-06-30
2463,1912-02-07
2464,1912-04-07
2465,1912-06-07
2466,1912-08-07
2467,1912-10-07
2468,1912-12-07
2469,1912-07-14
2470,1912-07-16
2471,1912-07-18
2472,1912-07-20
2473,1912-07-22
2474,1912-07-24
2475,1912-07-26
2476,1912-07-28
2477,1912-07-28
2478,1912-07-28
2479,1911-02-07
2480,1911-04-07
2481,1911-06-07
2482,1911-08-07
2483,1911-10-07
2484,1911-12-07
2485,1911-07-14
2486,1911-07-16
2487,1911-07-18
2488,1911-07-20
2489,1911-07-22
2490,1911-07-24
2491,1911-07-26
2492,1911-07-28
2493,1911-07-30
2494,1911-07-30
2495,1911-07-30
2496,1910-03-07
2497,1910-05-07
2498,1910-07-07
2499,1910-09-07
2500,1910-11-07
2501,1910-07-13
2502,1910-07-15
2503,1910-07-17
2504,1910-07-19
2505,1910-07-21
2506,1910-07-23
2507,1910-07-25
2508,1910-07-27
2509,1910-07-29
2510,1910-07-31
2511,1910-07-31
2512,1910-07-31
2513,1909-05-07
2514,1909-07-07
2515,1909-09-07
2516,1909-11-07
2517,1909-07-13
2518,1909-07-15
2519,1909-07-17
2520,1909-07-19
2521,1909-07-21
2522,1909-07-23
2523,1909-07-25
2524,1909-07-27
2525,1909-07-29
2526,1909-01-08
2527,1909-01-08
2528,1909-01-08
2529,1908-07-13
2530,1908-07-15
2531,1908-07-17
2532,1908-07-19
2533,1908-07-21
2534,1908-07-23
2535,1908-07-25
2536,1908-07-27
2537,1908-07-29
2538,1908-07-31
2539,1908-02-08
2540,1908-04-08
2541,1908-06-08
2542,1908-09-08
2543,1908-09-08
2544,1908-09-08
2545,1907-08-07
2546,1907-10-07
2547,1907-12-07
2548,1907-07-14
2549,1907-07-16
2550,1907-07-18
2551,1907-07-20
2552,1907-07-22
2553,1907-07-24
2554,1907-07-26
2555,1907-07-28
2556,1907-07-30
2557,1907-01-08
2558,1907-04-08
2559,1907-04-08
2560,1907-04-08
2561,1906-04-07
2562,1906-06-07
2563,1906-08-07
2564,1906-10-07
2565,1906-12-07
2566,1906-07-14
2567,1906-07-16
2568,1906-07-18
2569,1906-07-20
2570,1906-07-22
2571,1906-07-24
2572,1906-07-26
2573,1906-07-29
2574,1906-07-29
2575,1906-07-29
2576,1905-09-07
2577,1905-11-07
2578,1905-07-15
2579,1905-07-16
2580,1905-07-18
2581,1905-07-20
2582,1905-07-23
2583,1905-07-25
2584,1905-07-27
2585,1905-07-29
2586,1905-07-30
2587,1905-07-30
2588,1905-07-30
2589,1904-02-07
2590,1904-09-07
2591,1904-07-13
2592,1904-07-17
2593,1904-07-20
2594,1904-07-23
2595,1904-07-23
2596,1903-01-07
2597,1903-05-07
2598,1903-08-07
2599,1903-12-07
2600,1903-07-13
2601,1903-07-18
2602,1903-07-19
